time history #18965		
1	17.8338871	21.1
1.1	20.60516548	23.3
1.2	22.41181946	24.5
1.3	20.85362625	22.3
1.4	19.63808632	20.4
1.5	20.76303673	21
1.6	21.23536873	20.9
1.7	19.40387917	18.4
1.8	18.0664978	16.4
1.9	18.49931526	16.4
2	18.61653328	16.1
2.1	17.34165955	14.3
2.2	16.53884315	13
2.3	17.03756142	13.3
2.4	17.37885857	13.4
2.5	16.84670639	12.6
2.6	16.64782906	12.3
2.7	17.35737419	12.9
2.8	17.9125061	13.5
2.9	17.78857231	13.4
3	17.87536812	13.5
3.1	18.57858658	14.3
3.2	19.00090981	14.9
3.3	18.7930088	14.9
3.4	18.75492096	15.1
3.5	19.09802246	15.6
3.6	19.08542252	15.9
3.7	18.59197617	15.7
3.8	18.19214821	15.7
3.9	17.98893547	15.8
4	17.49843979	15.7
4.1	16.61205482	15.2
4.2	15.80350018	14.9
4.3	15.1280899	14.6
4.4	14.23339558	14.2
4.5	13.1269598	13.6
4.6	12.17529774	13.1
4.7	11.37118053	12.8
4.8	10.54228115	12.4
4.9	9.717695236	12
5	9.143091202	11.9
5.1	8.826293945	11.9
5.2	8.582865715	12.1
5.3	8.449679375	12.3
5.4	8.573822975	12.8
5.5	8.949404716	13.5
5.6	9.316292763	14.1
5.7	9.700201988	14.8
5.8	10.20000744	15.5
5.9	10.74018478	16.2
6	11.16576099	16.8
6.1	11.44286346	17.2
6.2	11.66081715	17.6
6.3	11.75493813	17.7
6.4	11.66217613	17.7
6.5	11.40887642	17.4
6.6	11.08619118	17.1
6.7	10.67793083	16.6
6.8	10.27052307	16.1
6.9	9.819973946	15.5
7	9.390598297	14.9
7.1	9.046678543	14.3
7.2	8.760266304	13.8
7.3	8.580180168	13.4
7.4	8.455958366	13
7.5	8.455633163	12.8
7.6	8.497837067	12.6
7.7	8.613947868	12.6
7.8	8.802242279	12.7
7.9	9.033046722	12.8
8	9.311134338	13
8.1	9.568696022	13.3
8.2	9.830095291	13.5
8.3	10.08902073	13.8
8.4	10.33461189	14.1
8.5	10.49748135	14.4
8.6	10.62480927	14.5
8.7	10.61760044	14.7
8.8	10.52581692	14.7
8.9	10.35729599	14.7
9	10.09427357	14.6
9.1	9.740753174	14.4
9.2	9.293702126	14.1
9.3	8.776358604	13.7
9.4	8.217064857	13.3
9.5	7.601393223	12.8
9.6	6.980523586	12.3
9.7	6.39865303	11.8
9.8	5.901648521	11.3
9.9	5.400096893	10.9
10	4.966835022	10.6
10.1	4.650702953	10.4
10.2	4.53710556	10.3
10.3	4.556094646	10.3
10.4	4.672184944	10.4
10.5	4.932899475	10.6
10.6	5.299033165	11
10.7	5.68713522	11.4
10.8	6.02536869	11.8
10.9	6.384951591	12.2
11	6.757997513	12.6
11.1	7.045452595	13
11.2	7.205792427	13.2
11.3	7.276780128	13.3
11.4	7.268364429	13.4
11.5	7.175035477	13.5
11.6	6.993653774	13.4
11.7	6.724628448	13.2
11.8	6.406980991	13.1
11.9	6.118501186	12.9
12	5.815452576	12.8
12.1	5.550900936	12.6
12.2	5.36839819	12.6
12.3	5.265476227	12.6
12.4	5.207757473	12.7
12.5	5.223792553	12.9
12.6	5.348759174	13.1
12.7	5.551988602	13.4
12.8	5.790902615	13.8
12.9	6.156056404	14.2
13	6.56075573	14.7
13.1	7.046843052	15.2
13.2	7.549051762	15.8
13.3	8.072501183	16.3
13.4	8.575349808	16.8
13.5	9.080094337	17.3
13.6	9.607563019	17.7
13.7	10.04424286	18.1
13.8	10.42876816	18.4
13.9	10.74249935	18.6
14	11.01526451	18.7
14.1	11.20435333	18.7
14.2	11.33252335	18.6
14.3	11.38995838	18.4
14.4	11.39346981	18.2
14.5	11.35942364	17.9
14.6	11.31104183	17.5
14.7	11.27993488	17.2
14.8	11.26097679	16.9
14.9	11.19444084	16.5
15	11.11812878	16.1
15.1	11.05974197	15.7
15.2	11.00776958	15.3
15.3	10.89062405	14.8
15.4	10.78802395	14.3
15.5	10.70333958	13.9
15.6	10.69516659	13.5
15.7	10.64100361	13.2
15.8	10.54615307	12.7
15.9	10.5004282	12.4
16	10.484272	12.1
16.1	10.44729424	11.8
16.2	10.34884071	11.4
16.3	10.28921223	11.1
16.4	10.31288147	10.8
16.5	10.01780796	10.4
16.6	9.542311668	9.78
16.7	9.209598541	9.27
16.8	8.962406158	8.87
16.9	8.44469738	8.29
17	7.738395214	7.54
17.1	7.112570763	6.85
17.2	6.537462234	6.25
17.3	5.950869083	5.64
17.4	5.377328396	5.08
17.5	4.888814926	4.58
17.6	4.414013386	4.11
17.7	3.933357	3.7
17.8	3.618451357	3.4
17.9	3.425412178	3.21
18	3.321852207	3.09
18.1	3.27498889	3.01
18.2	3.277389288	2.99
18.3	3.278967142	3.02
18.4	3.279448032	3.06
18.5	3.280191898	3.13
18.6	3.351300478	3.27
18.7	3.430485487	3.5
18.8	3.437161207	3.7
18.9	3.331117392	3.8
19	3.18033576	3.89
19.1	3.042541981	4.01
19.2	2.890990019	4.15
19.3	2.679241657	4.22
19.4	2.476892471	4.31
19.5	2.286296844	4.52
19.6	2.071865082	4.7
19.7	1.796977639	4.69
19.8	1.576700568	4.7
19.9	1.399481177	4.89
20	1.277745247	5.12
20.1	1.207026482	5.18
20.2	1.276036978	5.31
20.3	1.595161557	5.74
20.4	2.017808437	6.2
20.5	2.31859827	6.37
20.6	2.682313204	6.58
20.7	3.344709873	7.16
20.8	3.980573654	7.75
20.9	4.357848167	8.01
21	4.753623486	8.25
21.1	5.348112583	8.79
21.2	5.909736633	9.36
